INFO 2023-08-24 21:26:01,369 autoreload Watching for file changes with StatReloader
DEBUG 2023-08-24 21:26:01,370 autoreload Waiting for apps ready_event.
DEBUG 2023-08-24 21:26:01,879 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-08-24 21:26:01,893 autoreload Watching dir /usr/local/lib/python3.9/site-packages/djoser/templates with glob **/*.
DEBUG 2023-08-24 21:26:01,893 autoreload Watching dir /usr/local/lib/python3.9/site-packages/rest_framework/templates with glob **/*.
DEBUG 2023-08-24 21:26:01,894 autoreload Watching dir /workspaces/sns-api/locale with glob **/*.mo.
DEBUG 2023-08-24 21:26:01,895 autoreload Watching dir /usr/local/lib/python3.9/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2023-08-24 21:26:01,895 autoreload Watching dir /usr/local/lib/python3.9/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2023-08-24 21:26:01,896 autoreload Watching dir /usr/local/lib/python3.9/site-packages/djoser/locale with glob **/*.mo.
DEBUG 2023-08-24 21:26:01,896 autoreload Watching dir /workspaces/sns-api/accounts/locale with glob **/*.mo.
DEBUG 2023-08-24 21:26:01,897 autoreload Watching dir /workspaces/sns-api/posts/locale with glob **/*.mo.
DEBUG 2023-08-24 21:26:01,897 autoreload Watching dir /workspaces/sns-api/likes/locale with glob **/*.mo.
DEBUG 2023-08-24 21:26:01,898 autoreload Watching dir /workspaces/sns-api/follows/locale with glob **/*.mo.
DEBUG 2023-08-24 21:26:01,898 autoreload Watching dir /workspaces/sns-api/ai/locale with glob **/*.mo.
DEBUG 2023-08-24 21:26:02,049 autoreload File /usr/local/lib/python3.9/site-packages/djoser/permissions.py first seen with mtime 1692677620.907839
DEBUG 2023-08-24 21:26:02,049 autoreload File /usr/local/lib/python3.9/lib-dynload/unicodedata.cpython-39-x86_64-linux-gnu.so first seen with mtime 1692217301.0
DEBUG 2023-08-24 21:26:02,049 autoreload File /usr/local/lib/python3.9/site-packages/openai/api_resources/moderation.py first seen with mtime 1692677620.607839
DEBUG 2023-08-24 21:26:02,050 autoreload File /usr/local/lib/python3.9/site-packages/django/contrib/sessions/base_session.py first seen with mtime 1692677619.027839
DEBUG 2023-08-24 21:26:02,050 autoreload File /usr/local/lib/python3.9/site-packages/django/middleware/common.py first seen with mtime 1692677619.167839
DEBUG 2023-08-24 21:26:02,050 autoreload File /usr/local/lib/python3.9/site-packages/rest_framework/utils/humanize_datetime.py first seen with mtime 1692677620.727839
DEBUG 2023-08-24 21:26:02,051 autoreload File /usr/local/lib/python3.9/site-packages/aiohttp/web_middlewares.py first seen with mtime 1692677620.207839
DEBUG 2023-08-24 21:26:02,051 autoreload File /usr/local/lib/python3.9/site-packages/django/contrib/contenttypes/views.py first seen with mtime 1692677618.757839
DEBUG 2023-08-24 21:26:02,051 autoreload File /usr/local/lib/python3.9/site-packages/django/views/generic/base.py first seen with mtime 1692677619.187839
DEBUG 2023-08-24 21:26:02,051 autoreload File /usr/local/lib/python3.9/site-packages/gunicorn/http/message.py first seen with mtime 1692677618.237839
DEBUG 2023-08-24 21:26:02,052 autoreload File /usr/local/lib/python3.9/site-packages/django/contrib/admin/utils.py first seen with mtime 1692677618.547839
DEBUG 2023-08-24 21:26:02,052 autoreload File /usr/local/lib/python3.9/quopri.py first seen with mtime 1692217312.0
DEBUG 2023-08-24 21:26:02,052 autoreload File /usr/local/lib/python3.9/site-packages/django/db/migrations/migration.py first seen with mtime 1692677619.137839
DEBUG 2023-08-24 21:26:02,053 autoreload File /usr/local/lib/python3.9/lib-dynload/pyexpat.cpython-39-x86_64-linux-gnu.so first seen with mtime 1692217305.0
DEBUG 2023-08-24 21:26:02,053 autoreload File /usr/local/lib/python3.9/site-packages/PIL/Image.py first seen with mtime 1692677617.597839
DEBUG 2023-08-24 21:26:02,053 autoreload File /usr/local/lib/python3.9/site-packages/MySQLdb/release.py first seen with mtime 1692677617.217839
DEBUG 2023-08-24 21:26:02,053 autoreload File /usr/local/lib/python3.9/site-packages/sqlparse/engine/__init__.py first seen with mtime 1692677617.387839
DEBUG 2023-08-24 21:26:02,054 autoreload File /usr/local/lib/python3.9/site-packages/sqlparse/sql.py first seen with mtime 1692677617.387839
DEBUG 2023-08-24 21:26:02,054 autoreload File /usr/local/lib/python3.9/typing.py first seen with mtime 1692217312.0
DEBUG 2023-08-24 21:26:02,054 autoreload File /usr/local/lib/python3.9/wsgiref/__init__.py first seen with mtime 1692217314.0
DEBUG 2023-08-24 21:26:02,054 autoreload File /usr/local/lib/python3.9/site-packages/django/utils/version.py first seen with mtime 1692677619.177839
DEBUG 2023-08-24 21:26:02,055 autoreload File /usr/local/lib/python3.9/site-packages/requests/cookies.py first seen with mtime 1692677618.127839
DEBUG 2023-08-24 21:26:02,055 autoreload File /usr/local/lib/python3.9/xml/etree/ElementPath.py first seen with mtime 1692217314.0
DEBUG 2023-08-24 21:26:02,055 autoreload File /usr/local/lib/python3.9/asyncio/queues.py first seen with mtime 1692217313.0
DEBUG 2023-08-24 21:26:02,055 autoreload File /usr/local/lib/python3.9/email/utils.py first seen with mtime 1692217314.0
DEBUG 2023-08-24 21:26:02,055 autoreload File /usr/local/lib/python3.9/site-packages/django/db/models/fields/reverse_related.py first seen with mtime 1692677619.147839
DEBUG 2023-08-24 21:26:02,056 autoreload File /usr/local/lib/python3.9/site-packages/django/forms/__init__.py first seen with mtime 1692677619.147839
DEBUG 2023-08-24 21:26:02,056 autoreload File /usr/local/lib/python3.9/site-packages/django/contrib/admin/decorators.py first seen with mtime 1692677618.537839
DEBUG 2023-08-24 21:26:02,056 autoreload File /usr/local/lib/python3.9/site-packages/django/db/models/functions/comparison.py first seen with mtime 1692677619.147839
DEBUG 2023-08-24 21:26:02,056 autoreload File /usr/local/lib/python3.9/site-packages/django/db/models/constants.py first seen with mtime 1692677619.137839
DEBUG 2023-08-24 21:26:02,056 autoreload File /usr/local/lib/python3.9/site-packages/django/core/__init__.py first seen with mtime 1692677619.107839
DEBUG 2023-08-24 21:26:02,056 autoreload File /usr/local/lib/python3.9/site-packages/rest_framework/utils/formatting.py first seen with mtime 1692677620.727839
DEBUG 2023-08-24 21:26:02,056 autoreload File /usr/local/lib/python3.9/site-packages/django/db/models/functions/math.py first seen with mtime 1692677619.147839
DEBUG 2023-08-24 21:26:02,057 autoreload File /usr/local/lib/python3.9/lib-dynload/_opcode.cpython-39-x86_64-linux-gnu.so first seen with mtime 1692217299.0
DEBUG 2023-08-24 21:26:02,057 autoreload File /usr/local/lib/python3.9/asyncio/base_tasks.py first seen with mtime 1692217313.0
DEBUG 2023-08-24 21:26:02,058 autoreload File /workspaces/sns-api/ai/admin.py first seen with mtime 1692675709.1139486
DEBUG 2023-08-24 21:26:02,058 autoreload File /usr/local/lib/python3.9/site-packages/django/utils/hashable.py first seen with mtime 1692677619.177839
DEBUG 2023-08-24 21:26:02,058 autoreload File /usr/local/lib/python3.9/site-packages/django/contrib/admin/models.py first seen with mtime 1692677618.547839
DEBUG 2023-08-24 21:26:02,058 autoreload File /usr/local/lib/python3.9/site-packages/rest_framework/reverse.py first seen with mtime 1692677620.677839
DEBUG 2023-08-24 21:26:02,058 autoreload File /usr/local/lib/python3.9/site-packages/sqlparse/keywords.py first seen with mtime 1692677617.387839
DEBUG 2023-08-24 21:26:02,058 autoreload File /usr/local/lib/python3.9/site-packages/attr/_config.py first seen with mtime 1692677618.057839
DEBUG 2023-08-24 21:26:02,058 autoreload File /usr/local/lib/python3.9/site-packages/django/apps/registry.py first seen with mtime 1692677618.457839
